"Rd=vaddh(Rs,Rt)","Word32 Q6_R_vaddh_RR(Word32 Rs, Word32 Rt)"
"Rd=vaddh(Rs,Rt):sat","Word32 Q6_R_vaddh_RR_sat(Word32 Rs, Word32 Rt)"
"Rd=vadduh(Rs,Rt):sat","Word32 Q6_R_vadduh_RR_sat(Word32 Rs, Word32 Rt)"
"Rd=vavgh(Rs,Rt)","Word32 Q6_R_vavgh_RR(Word32 Rs, Word32 Rt)"
"Rd=vavgh(Rs,Rt):rnd","Word32 Q6_R_vavgh_RR_rnd(Word32 Rs, Word32 Rt)"
"Rd=vnavgh(Rt,Rs)","Word32 Q6_R_vnavgh_RR(Word32 Rt, Word32 Rs)"
"Rd=vsubh(Rt,Rs)","Word32 Q6_R_vsubh_RR(Word32 Rt, Word32 Rs)"
"Rd=vsubh(Rt,Rs):sat","Word32 Q6_R_vsubh_RR_sat(Word32 Rt, Word32 Rs)"
"Rd=vsubuh(Rt,Rs):sat","Word32 Q6_R_vsubuh_RR_sat(Word32 Rt, Word32 Rs)"
Rd=zxtb(Rs),Word32 Q6_R_zxtb_R(Word32 Rs)
Rd=zxth(Rs),Word32 Q6_R_zxth_R(Word32 Rs)
"Rd=combine(Rt.H,Rs.H)","Word32 Q6_R_combine_RhRh(Word32 Rt, Word32 Rs)"
"Rd=combine(Rt.H,Rs.L)","Word32 Q6_R_combine_RhRl(Word32 Rt, Word32 Rs)"
"Rd=combine(Rt.L,Rs.H)","Word32 Q6_R_combine_RlRh(Word32 Rt, Word32 Rs)"
"Rd=combine(Rt.L,Rs.L)","Word32 Q6_R_combine_RlRl(Word32 Rt, Word32 Rs)"
"Rdd=combine(#s8,#S8)","Word64 Q6_P_combine_II(Word32 Is8, Word32 IS8)"
"Rdd=combine(#s8,Rs)","Word64 Q6_P_combine_IR(Word32 Is8, Word32 Rs)"
"Rdd=combine(Rs,#s8)","Word64 Q6_P_combine_RI(Word32 Rs, Word32 Is8)"
"Rdd=combine(Rs,Rt)","Word64 Q6_P_combine_RR(Word32 Rs, Word32 Rt)"
"Rd=mux(Pu,#s8,#S8)","Word32 Q6_R_mux_pII(Byte Pu, Word32 Is8, Word32"
"",IS8)
"Rd=mux(Pu,#s8,Rs)","Word32 Q6_R_mux_pIR(Byte Pu, Word32 Is8, Word32"
"",Rs)
"Rd=mux(Pu,Rs,#s8)","Word32 Q6_R_mux_pRI(Byte Pu, Word32 Rs, Word32"
"",Is8)
"Rd=mux(Pu,Rs,Rt)","Word32 Q6_R_mux_pRR(Byte Pu, Word32 Rs, Word32"
"",Rt)
Rd=aslh(Rs),Word32 Q6_R_aslh_R(Word32 Rs)
Rd=asrh(Rs),Word32 Q6_R_asrh_R(Word32 Rs)
"Rdd=packhl(Rs,Rt)","Word64 Q6_P_packhl_RR(Word32 Rs, Word32 Rt)"
"Pd=!cmp.eq(Rs,#s10)","Byte Q6_p_not_cmp_eq_RI(Word32 Rs, Word32 Is10)"
"Pd=!cmp.eq(Rs,Rt)","Byte Q6_p_not_cmp_eq_RR(Word32 Rs, Word32 Rt)"
"Pd=!cmp.gt(Rs,#s10)","Byte Q6_p_not_cmp_gt_RI(Word32 Rs, Word32 Is10)"
"Pd=!cmp.gt(Rs,Rt)","Byte Q6_p_not_cmp_gt_RR(Word32 Rs, Word32 Rt)"
"Pd=!cmp.gtu(Rs,#u9)","Byte Q6_p_not_cmp_gtu_RI(Word32 Rs, Word32 Iu9)"
"Pd=!cmp.gtu(Rs,Rt)","Byte Q6_p_not_cmp_gtu_RR(Word32 Rs, Word32 Rt)"
"Pd=cmp.eq(Rs,#s10)","Byte Q6_p_cmp_eq_RI(Word32 Rs, Word32 Is10)"
"Pd=cmp.eq(Rs,Rt)","Byte Q6_p_cmp_eq_RR(Word32 Rs, Word32 Rt)"
"Pd=cmp.ge(Rs,#s8)","Byte Q6_p_cmp_ge_RI(Word32 Rs, Word32 Is8)"
"Pd=cmp.geu(Rs,#u8)","Byte Q6_p_cmp_geu_RI(Word32 Rs, Word32 Iu8)"
"Pd=cmp.gt(Rs,#s10)","Byte Q6_p_cmp_gt_RI(Word32 Rs, Word32 Is10)"
"Pd=cmp.gt(Rs,Rt)","Byte Q6_p_cmp_gt_RR(Word32 Rs, Word32 Rt)"
"Pd=cmp.gtu(Rs,#u9)","Byte Q6_p_cmp_gtu_RI(Word32 Rs, Word32 Iu9)"
"Pd=cmp.gtu(Rs,Rt)","Byte Q6_p_cmp_gtu_RR(Word32 Rs, Word32 Rt)"
"Pd=cmp.lt(Rs,Rt)","Byte Q6_p_cmp_lt_RR(Word32 Rs, Word32 Rt)"
"Pd=cmp.ltu(Rs,Rt)","Byte Q6_p_cmp_ltu_RR(Word32 Rs, Word32 Rt)"
"Rd=!cmp.eq(Rs,#s8)","Word32 Q6_R_not_cmp_eq_RI(Word32 Rs, Word32 Is8)"
"Rd=!cmp.eq(Rs,Rt)","Word32 Q6_R_not_cmp_eq_RR(Word32 Rs, Word32 Rt)"
"Rd=cmp.eq(Rs,#s8)","Word32 Q6_R_cmp_eq_RI(Word32 Rs, Word32 Is8)"
"Rd=cmp.eq(Rs,Rt)","Word32 Q6_R_cmp_eq_RR(Word32 Rs, Word32 Rt)"
"Pd=!fastcorner9(Ps,Pt)","Byte Q6_p_not_fastcorner9_pp(Byte Ps, Byte Pt)"
"Pd=fastcorner9(Ps,Pt)","Byte Q6_p_fastcorner9_pp(Byte Ps, Byte Pt)"
Pd=all8(Ps),Byte Q6_p_all8_p(Byte Ps)
Pd=any8(Ps),Byte Q6_p_any8_p(Byte Ps)
Pd=Ps,Byte Q6_p_equals_p(Byte Ps)
"Pd=and(Ps,and(Pt,!Pu))","Byte Q6_p_and_and_ppnp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=and(Ps,and(Pt,Pu))","Byte Q6_p_and_and_ppp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=and(Ps,or(Pt,!Pu))","Byte Q6_p_and_or_ppnp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=and(Ps,or(Pt,Pu))","Byte Q6_p_and_or_ppp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=and(Pt,!Ps)","Byte Q6_p_and_pnp(Byte Pt, Byte Ps)"
"Pd=and(Pt,Ps)","Byte Q6_p_and_pp(Byte Pt, Byte Ps)"
Pd=not(Ps),Byte Q6_p_not_p(Byte Ps)
"Pd=or(Ps,and(Pt,!Pu))","Byte Q6_p_or_and_ppnp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=or(Ps,and(Pt,Pu))","Byte Q6_p_or_and_ppp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=or(Ps,or(Pt,!Pu))","Byte Q6_p_or_or_ppnp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=or(Ps,or(Pt,Pu))","Byte Q6_p_or_or_ppp(Byte Ps, Byte Pt, Byte Pu)"
"Pd=or(Pt,!Ps)","Byte Q6_p_or_pnp(Byte Pt, Byte Ps)"
"Pd=or(Pt,Ps)","Byte Q6_p_or_pp(Byte Pt, Byte Ps)"
"Pd=xor(Ps,Pt)","Byte Q6_p_xor_pp(Byte Ps, Byte Pt)"
dcfetch(Rs),void Q6_dcfetch_A(Address a)
Rdd=abs(Rss),Word64 Q6_P_abs_P(Word64 Rss)
Rd=abs(Rs),Word32 Q6_R_abs_R(Word32 Rs)
Rd=abs(Rs):sat,Word32 Q6_R_abs_R_sat(Word32 Rs)
"Rd=add(Rs,add(Ru,#s6))","Word32 Q6_R_add_add_RRI(Word32 Rs, Word32 Ru,"
"",Word32 Is6)
"Rd=add(Rs,sub(#s6,Ru))","Word32 Q6_R_add_sub_RIR(Word32 Rs, Word32 Is6,"
"",Word32 Ru)
"Rx+=add(Rs,#s8)","Word32 Q6_R_addacc_RI(Word32 Rx, Word32 Rs,"
"",Word32 Is8)
"Rx+=add(Rs,Rt)","Word32 Q6_R_addacc_RR(Word32 Rx, Word32 Rs,"
"",Word32 Rt)
"Rx-=add(Rs,#s8)","Word32 Q6_R_addnac_RI(Word32 Rx, Word32 Rs,"
"",Word32 Is8)
"Rx-=add(Rs,Rt)","Word32 Q6_R_addnac_RR(Word32 Rx, Word32 Rs,"
"",Word32 Rt)
"Rdd=add(Rs,Rtt)","Word64 Q6_P_add_RP(Word32 Rs, Word64 Rtt)"
"Rdd=add(Rss,Rtt)","Word64 Q6_P_add_PP(Word64 Rss, Word64 Rtt)"
"Rdd=add(Rss,Rtt):sat","Word64 Q6_P_add_PP_sat(Word64 Rss, Word64 Rtt)"
"Rd=add(Rt.H,Rs.H):<<16","Word32 Q6_R_add_RhRh_s16(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.H,Rs.H):sat:<<16","Word32 Q6_R_add_RhRh_sat_s16(Word32 Rt, Word32"
"",Rs)
"Rd=add(Rt.H,Rs.L):<<16","Word32 Q6_R_add_RhRl_s16(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.H,Rs.L):sat:<<16","Word32 Q6_R_add_RhRl_sat_s16(Word32 Rt, Word32"
"",Rs)
"Rd=add(Rt.L,Rs.H)","Word32 Q6_R_add_RlRh(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.L,Rs.H):<<16","Word32 Q6_R_add_RlRh_s16(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.L,Rs.H):sat","Word32 Q6_R_add_RlRh_sat(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.L,Rs.H):sat:<<16","Word32 Q6_R_add_RlRh_sat_s16(Word32 Rt, Word32"
"",Rs)
"Rd=add(Rt.L,Rs.L)","Word32 Q6_R_add_RlRl(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.L,Rs.L):<<16","Word32 Q6_R_add_RlRl_s16(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.L,Rs.L):sat","Word32 Q6_R_add_RlRl_sat(Word32 Rt, Word32 Rs)"
"Rd=add(Rt.L,Rs.L):sat:<<16","Word32 Q6_R_add_RlRl_sat_s16(Word32 Rt, Word32"
"",Rs)
"Rdd=and(Rss,Rtt)","Word64 Q6_P_and_PP(Word64 Rss, Word64 Rtt)"
"Rdd=and(Rtt,~Rss)","Word64 Q6_P_and_PnP(Word64 Rtt, Word64 Rss)"
Rdd=not(Rss),Word64 Q6_P_not_P(Word64 Rss)
"Rdd=or(Rss,Rtt)","Word64 Q6_P_or_PP(Word64 Rss, Word64 Rtt)"
"Rdd=or(Rtt,~Rss)","Word64 Q6_P_or_PnP(Word64 Rtt, Word64 Rss)"
"Rdd=xor(Rss,Rtt)","Word64 Q6_P_xor_PP(Word64 Rss, Word64 Rtt)"
"Rxx^=xor(Rss,Rtt)","Word64 Q6_P_xorxacc_PP(Word64 Rxx, Word64 Rss,"
"",Word64 Rtt)
"Rx&=and(Rs,Rt)","Word32 Q6_R_andand_RR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx&=and(Rs,~Rt)","Word32 Q6_R_andand_RnR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx&=or(Rs,Rt)","Word32 Q6_R_orand_RR(Word32 Rx, Word32 Rs, Word32 Rt)"
"Rx&=xor(Rs,Rt)","Word32 Q6_R_xorand_RR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx=or(Ru,and(Rx,#s10))","Word32 Q6_R_or_and_RRI(Word32 Ru, Word32 Rx, Word32"
"",Is10)
"Rx^=and(Rs,Rt)","Word32 Q6_R_andxacc_RR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx^=and(Rs,~Rt)","Word32 Q6_R_andxacc_RnR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx^=or(Rs,Rt)","Word32 Q6_R_orxacc_RR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx^=xor(Rs,Rt)","Word32 Q6_R_xorxacc_RR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx|=and(Rs,#s10)","Word32 Q6_R_andor_RI(Word32 Rx, Word32 Rs, Word32"
"",Is10)
"Rx|=and(Rs,Rt)","Word32 Q6_R_andor_RR(Word32 Rx, Word32 Rs, Word32 Rt)"
"Rx|=and(Rs,~Rt)","Word32 Q6_R_andor_RnR(Word32 Rx, Word32 Rs, Word32"
"",Rt)
"Rx|=or(Rs,#s10)","Word32 Q6_R_oror_RI(Word32 Rx, Word32 Rs, Word32"
"",Is10)
"Rx|=or(Rs,Rt)","Word32 Q6_R_oror_RR(Word32 Rx, Word32 Rs, Word32 Rt)"
"Rx|=xor(Rs,Rt)","Word32 Q6_R_xoror_RR(Word32 Rx, Word32 Rs, Word32 Rt)"
"Rd=max(Rs,Rt)","Word32 Q6_R_max_RR(Word32 Rs, Word32 Rt)"
"Rd=maxu(Rs,Rt)","UWord32 Q6_R_maxu_RR(Word32 Rs, Word32 Rt)"
"Rdd=max(Rss,Rtt)","Word64 Q6_P_max_PP(Word64 Rss, Word64 Rtt)"
"Rdd=maxu(Rss,Rtt)","UWord64 Q6_P_maxu_PP(Word64 Rss, Word64 Rtt)"
"Rd=min(Rt,Rs)","Word32 Q6_R_min_RR(Word32 Rt, Word32 Rs)"
"Rd=minu(Rt,Rs)","UWord32 Q6_R_minu_RR(Word32 Rt, Word32 Rs)"
"Rdd=min(Rtt,Rss)","Word64 Q6_P_min_PP(Word64 Rtt, Word64 Rss)"
"Rdd=minu(Rtt,Rss)","UWord64 Q6_P_minu_PP(Word64 Rtt, Word64 Rss)"
"Rd=modwrap(Rs,Rt)","Word32 Q6_R_modwrap_RR(Word32 Rs, Word32 Rt)"
Rd=neg(Rs):sat,Word32 Q6_R_neg_R_sat(Word32 Rs)
Rdd=neg(Rss),Word64 Q6_P_neg_P(Word64 Rss)
"Rd=cround(Rs,#u5)","Word32 Q6_R_cround_RI(Word32 Rs, Word32 Iu5)"
"Rd=cround(Rs,Rt)","Word32 Q6_R_cround_RR(Word32 Rs, Word32 Rt)"
"Rd=round(Rs,#u5)","Word32 Q6_R_round_RI(Word32 Rs, Word32 Iu5)"
"Rd=round(Rs,#u5):sat","Word32 Q6_R_round_RI_sat(Word32 Rs, Word32 Iu5)"
"Rd=round(Rs,Rt)","Word32 Q6_R_round_RR(Word32 Rs, Word32 Rt)"
"Rd=round(Rs,Rt):sat","Word32 Q6_R_round_RR_sat(Word32 Rs, Word32 Rt)"
Rd=round(Rss):sat,Word32 Q6_R_round_P_sat(Word64 Rss)
"Rdd=sub(Rtt,Rss)","Word64 Q6_P_sub_PP(Word64 Rtt, Word64 Rss)"
"Rx+=sub(Rt,Rs)","Word32 Q6_R_subacc_RR(Word32 Rx, Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.H,Rs.H):<<16","Word32 Q6_R_sub_RhRh_s16(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.H,Rs.H):sat:<<16","Word32 Q6_R_sub_RhRh_sat_s16(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.H,Rs.L):<<16","Word32 Q6_R_sub_RhRl_s16(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.H,Rs.L):sat:<<16","Word32 Q6_R_sub_RhRl_sat_s16(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.H)","Word32 Q6_R_sub_RlRh(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.H):<<16","Word32 Q6_R_sub_RlRh_s16(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.H):sat","Word32 Q6_R_sub_RlRh_sat(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.H):sat:<<16","Word32 Q6_R_sub_RlRh_sat_s16(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.L)","Word32 Q6_R_sub_RlRl(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.L):<<16","Word32 Q6_R_sub_RlRl_s16(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.L):sat","Word32 Q6_R_sub_RlRl_sat(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt.L,Rs.L):sat:<<16","Word32 Q6_R_sub_RlRl_sat_s16(Word32 Rt, Word32 Rs)"
Rdd=sxtw(Rs),Word64 Q6_P_sxtw_R(Word32 Rs)
Rdd=vabsh(Rss),Word64 Q6_P_vabsh_P(Word64 Rss)
Rdd=vabsh(Rss):sat,Word64 Q6_P_vabsh_P_sat(Word64 Rss)
Rdd=vabsw(Rss),Word64 Q6_P_vabsw_P(Word64 Rss)
Rdd=vabsw(Rss):sat,Word64 Q6_P_vabsw_P_sat(Word64 Rss)
"Rdd=vabsdiffb(Rtt,Rss)","Word64 Q6_P_vabsdiffb_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vabsdiffub(Rtt,Rss)","Word64 Q6_P_vabsdiffub_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vabsdiffh(Rtt,Rss)","Word64 Q6_P_vabsdiffh_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vabsdiffw(Rtt,Rss)","Word64 Q6_P_vabsdiffw_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vaddh(Rss,Rtt)","Word64 Q6_P_vaddh_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vaddh(Rss,Rtt):sat","Word64 Q6_P_vaddh_PP_sat(Word64 Rss, Word64 Rtt)"
"Rdd=vadduh(Rss,Rtt):sat","Word64 Q6_P_vadduh_PP_sat(Word64 Rss, Word64 Rtt)"
"Rd=vaddhub(Rss,Rtt):sat","Word32 Q6_R_vaddhub_PP_sat(Word64 Rss, Word64 Rtt)"
"Rdd=vraddub(Rss,Rtt)","Word64 Q6_P_vraddub_PP(Word64 Rss, Word64 Rtt)"
"Rxx+=vraddub(Rss,Rtt)","Word64 Q6_P_vraddubacc_PP(Word64 Rxx, Word64"
"","Rss, Word64 Rtt)"
"Rd=vraddh(Rss,Rtt)","Word32 Q6_R_vraddh_PP(Word64 Rss, Word64 Rtt)"
"Rd=vradduh(Rss,Rtt)","Word32 Q6_R_vradduh_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vaddb(Rss,Rtt)","Word64 Q6_P_vaddb_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vaddub(Rss,Rtt)","Word64 Q6_P_vaddub_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vaddub(Rss,Rtt):sat","Word64 Q6_P_vaddub_PP_sat(Word64 Rss, Word64 Rtt)"
"Rdd=vaddw(Rss,Rtt)","Word64 Q6_P_vaddw_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vaddw(Rss,Rtt):sat","Word64 Q6_P_vaddw_PP_sat(Word64 Rss, Word64 Rtt)"
"Rdd=vavgh(Rss,Rtt)","Word64 Q6_P_vavgh_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vavgh(Rss,Rtt):crnd","Word64 Q6_P_vavgh_PP_crnd(Word64 Rss, Word64 Rtt)"
"Rdd=vavgh(Rss,Rtt):rnd","Word64 Q6_P_vavgh_PP_rnd(Word64 Rss, Word64 Rtt)"
"Rdd=vavguh(Rss,Rtt)","Word64 Q6_P_vavguh_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vavguh(Rss,Rtt):rnd","Word64 Q6_P_vavguh_PP_rnd(Word64 Rss, Word64 Rtt)"
"Rdd=vnavgh(Rtt,Rss)","Word64 Q6_P_vnavgh_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vnavgh(Rtt,Rss):crnd:sat","Word64 Q6_P_vnavgh_PP_crnd_sat(Word64 Rtt, Word64"
"",Rss)
"Rdd=vnavgh(Rtt,Rss):rnd:sat","Word64 Q6_P_vnavgh_PP_rnd_sat(Word64 Rtt, Word64"
"",Rss)
"Rdd=vavgub(Rss,Rtt)","Word64 Q6_P_vavgub_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vavgub(Rss,Rtt):rnd","Word64 Q6_P_vavgub_PP_rnd(Word64 Rss, Word64 Rtt)"
"Rdd=vavguw(Rss,Rtt)","Word64 Q6_P_vavguw_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vavguw(Rss,Rtt):rnd","Word64 Q6_P_vavguw_PP_rnd(Word64 Rss, Word64"
"",Rtt)
"Rdd=vavgw(Rss,Rtt)","Word64 Q6_P_vavgw_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vavgw(Rss,Rtt):crnd","Word64 Q6_P_vavgw_PP_crnd(Word64 Rss, Word64"
"",Rtt)
"Rdd=vavgw(Rss,Rtt):rnd","Word64 Q6_P_vavgw_PP_rnd(Word64 Rss, Word64 Rtt)"
"Rdd=vnavgw(Rtt,Rss)","Word64 Q6_P_vnavgw_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vnavgw(Rtt,Rss):crnd:sat","Word64 Q6_P_vnavgw_PP_crnd_sat(Word64 Rtt,"
"",Word64 Rss)
"Rdd=vnavgw(Rtt,Rss):rnd:sat","Word64 Q6_P_vnavgw_PP_rnd_sat(Word64 Rtt, Word64"
"",Rss)
"Rdd=vcnegh(Rss,Rt)","Word64 Q6_P_vcnegh_PR(Word64 Rss, Word32 Rt)"
"Rxx+=vrcnegh(Rss,Rt)","Word64 Q6_P_vrcneghacc_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Rt)
"Rdd=vmaxb(Rtt,Rss)","Word64 Q6_P_vmaxb_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vmaxub(Rtt,Rss)","Word64 Q6_P_vmaxub_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vmaxh(Rtt,Rss)","Word64 Q6_P_vmaxh_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vmaxuh(Rtt,Rss)","Word64 Q6_P_vmaxuh_PP(Word64 Rtt, Word64 Rss)"
"Rxx=vrmaxh(Rss,Ru)","Word64 Q6_P_vrmaxh_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rxx=vrmaxuh(Rss,Ru)","Word64 Q6_P_vrmaxuh_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rxx=vrmaxuw(Rss,Ru)","Word64 Q6_P_vrmaxuw_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rxx=vrmaxw(Rss,Ru)","Word64 Q6_P_vrmaxw_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rdd=vmaxuw(Rtt,Rss)","Word64 Q6_P_vmaxuw_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vmaxw(Rtt,Rss)","Word64 Q6_P_vmaxw_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vminb(Rtt,Rss)","Word64 Q6_P_vminb_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vminub(Rtt,Rss)","Word64 Q6_P_vminub_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vminh(Rtt,Rss)","Word64 Q6_P_vminh_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vminuh(Rtt,Rss)","Word64 Q6_P_vminuh_PP(Word64 Rtt, Word64 Rss)"
"Rxx=vrminh(Rss,Ru)","Word64 Q6_P_vrminh_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rxx=vrminuh(Rss,Ru)","Word64 Q6_P_vrminuh_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rxx=vrminuw(Rss,Ru)","Word64 Q6_P_vrminuw_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rxx=vrminw(Rss,Ru)","Word64 Q6_P_vrminw_PR(Word64 Rxx, Word64 Rss,"
"",Word32 Ru)
"Rdd=vminuw(Rtt,Rss)","Word64 Q6_P_vminuw_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vminw(Rtt,Rss)","Word64 Q6_P_vminw_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vrsadub(Rss,Rtt)","Word64 Q6_P_vrsadub_PP(Word64 Rss, Word64 Rtt)"
"Rxx+=vrsadub(Rss,Rtt)","Word64 Q6_P_vrsadubacc_PP(Word64 Rxx, Word64"
"","Rss, Word64 Rtt)"
"Rdd=vsubh(Rtt,Rss)","Word64 Q6_P_vsubh_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vsubh(Rtt,Rss):sat","Word64 Q6_P_vsubh_PP_sat(Word64 Rtt, Word64 Rss)"
"Rdd=vsubuh(Rtt,Rss):sat","Word64 Q6_P_vsubuh_PP_sat(Word64 Rtt, Word64 Rss)"
"Rdd=vsubb(Rss,Rtt)","Word64 Q6_P_vsubb_PP(Word64 Rss, Word64 Rtt)"
"Rdd=vsubub(Rtt,Rss)","Word64 Q6_P_vsubub_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vsubub(Rtt,Rss):sat","Word64 Q6_P_vsubub_PP_sat(Word64 Rtt, Word64 Rss)"
"Rdd=vsubw(Rtt,Rss)","Word64 Q6_P_vsubw_PP(Word64 Rtt, Word64 Rss)"
"Rdd=vsubw(Rtt,Rss):sat","Word64 Q6_P_vsubw_PP_sat(Word64 Rtt, Word64 Rss)"
"Rd=add(clb(Rs),#s6)","Word32 Q6_R_add_clb_RI(Word32 Rs, Word32 Is6)"
"Rd=add(clb(Rss),#s6)","Word32 Q6_R_add_clb_PI(Word64 Rss, Word32 Is6)"
Rd=cl0(Rs),Word32 Q6_R_cl0_R(Word32 Rs)
Rd=cl0(Rss),Word32 Q6_R_cl0_P(Word64 Rss)
Rd=cl1(Rs),Word32 Q6_R_cl1_R(Word32 Rs)
Rd=cl1(Rss),Word32 Q6_R_cl1_P(Word64 Rss)
Rd=clb(Rs),Word32 Q6_R_clb_R(Word32 Rs)
Rd=clb(Rss),Word32 Q6_R_clb_P(Word64 Rss)
Rd=normamt(Rs),Word32 Q6_R_normamt_R(Word32 Rs)
